区域,名称,景点id,类型,级别,热度,地址,特色,经纬度
江苏·苏州·吴中区,启园,2294894529,公园,,热度 0.7,江苏省苏州市吴中区东山镇启园路39号,二层建筑，端庄雅致,"120.420514,31.103166"
江苏·苏州·吴中区,东山雨花胜境,3151539959,公园,4A景区,热度 0.0,江苏省苏州市吴中区东山镇雨花路8号,每至春末，花瓣飘落，似花雨从天而降,"120.413015,31.094309"
江苏·苏州·吴中区,水八仙生态园,2293028658,农家度假,,热度 0.0,江苏省苏州市吴中区甪直镇金澄湖路288号,自然与文化相融的个性独具的生态时尚休闲景区,"120.804321,31.249081"
江苏·苏州·吴中区,旺山景区,3284011885,农家度假,4A景区,热度 0.0,江苏省苏州市吴中区越溪街道旺山村,山林植被、历史古迹保存良好的田园梦乡,"120.56551,31.212108"
江苏·苏州·吴中区,未来农林大世界,3610242071,农家度假,,热度 0.7,江苏省苏州市吴中区环湖路8号,是人们亲近山水、回归自然的生态乐园,"120.492808,31.1824"
江苏·苏州·吴中区,苏州梦幻乐园,2576760663,游乐场,,热度 0.0,江苏省苏州市吴中区胥口镇苏福路与孙武路交汇处西200米（石家饭店对面）,释放天性，一路尖叫,"120.503666,31.259081"
江苏·苏州·吴中区,苏州欢乐岛,2545704257,游乐场,,热度 0.0,江苏省苏州市吴中区临湖镇临湖路889号,30余个游乐项目等你来挑战,"120.462669,31.140343"
江苏·苏州·吴中区,苏州太湖园博园,2358505139,展馆,,热度 0.0,苏州市临湖镇环镇路99号,写意园林,"120.465185,31.146345"
江苏·苏州·吴中区,苏州梵高星空艺术馆,3379882830,展馆,,热度 0.0,江苏省苏州市吴中区中山东路88号大运城3号楼2F（国美电器旁）,文化创意、休闲娱乐、趣味互动、艺术体验,"120.540455,31.262732"
江苏·苏州·吴中区,创想机器人科技馆,671965741,展馆,,热度 0.0,江苏省苏州市吴中区友翔路18号创想机器人科技馆,学习前沿知识，感受科技魅力,"120.588803,31.192293"
江苏·苏州·吴中区,苏州慢瑜伽私人工作室,1111199469,运动健身,,热度 0.0,江苏省苏州市吴中区宝带东路399号丽丰广场南面中润中心B座璞御公馆1008室,无字天书百思难解，永远21°的离奇世界,"120.639499,31.271207"
江苏·苏州·吴中区,玛尼瑜伽健身馆,2409146905,运动健身,,热度 0.0,江苏苏州市吴中区东吴北路78号,自然健康养生事业项目研发与推广,"120.635486,31.27491"
江苏·苏州·吴中区,星辰轮滑,3895133658,运动健身,,热度 0.0,江苏苏州吴中区木渎国际影视城4号楼负1楼,八个轮子带你飞翔,"120.524608,31.284786"
江苏·苏州·相城区,牧谷农场,2520261945,农家度假,,热度 0.0,江苏省苏州市牧谷农场（苏州市相城区北桥街道灵峰村樊店路与生态路交界）,现场美爆的场景光影交织的盛宴,"120.629014,31.536533"
江苏·苏州·相城区,盛泽湖休闲度假区,550779333,农家度假,,热度 0.7,江苏省苏州市相城区古城北部的阳澄湖畔,建筑组团尽收眼底，形成气势宏大的鸟瞰景,"120.714797,31.462919"
江苏·苏州·相城区,丝绸博物馆,1927578806,展馆,,热度 0.7,江苏苏州市人民路661号,一座清新典雅、动静结合的博物馆,"120.625114,31.329239"
江苏·苏州·阳澄湖莲花岛,苏州阳澄湖莲花岛农家乐,2129307789,农家度假,,热度 0.0,江苏省苏州市阳澄湖生态休闲旅游度假区莲花岛南湖摊。,莲花岛花香四溢，大片的花遍布岛内,"120.814645,31.449612"
江苏·苏州·张家港市,张家港市香山风景区,2580038,自然风光,4A景区,热度 0.0,江苏张家港市金港镇南沙境内,旧时为江阴十大名山之一，有江南名山之誉,"120.40645841787,31.935821169086"
江苏·苏州·张家港市,苏州江南农耕文化园,1707383769,农家度假,4A景区,热度 0.0,江苏省苏州市张家港市妙丰公路与永钢大道交汇处,乡村垂钓乐，农家美食乐，动物逗逗乐,"120.724751,31.848454"
江苏·苏州·张家港市,暨阳湖欢乐世界,1327407914,游乐场,,热度 0.0,江苏省苏州市张家港市暨阳湖生态园,游乐项目众多，老少皆宜，感受无限乐趣,"120.54967,31.84829"
江苏·苏州·周庄,张厅,261092457,文化古迹,,热度 0.72,江苏省苏州市昆山市周庄,周庄镇仅存的少量明代建筑之一,"120.925574,31.751931"
江苏·苏州·周庄,富安桥,2727221417,文化古迹,,热度 0.72,江苏省苏州昆山市周庄,古镇桥与楼联袂结构完美的独特建筑,"120.85685,31.119269"
江苏·苏州·周庄,四季周庄,3090290082,文化古迹,,热度 0.0,江苏省苏州昆山市全功路375号,江南水乡人民与水和谐相处生活画卷的描绘,"120.852832,31.121099"
江苏·苏州·周庄,周庄一日游,2993534345,文化古迹,,热度 0.0,江苏省苏州市昆山周庄全福路43号,体验千年历史沧桑和浓郁吴地文化孕育的周庄,"120.854425,31.120241"
江苏·苏州·周庄,周庄绿乐园,1266234592,游乐场,,热度 0.0,江苏省苏州市昆山市周庄镇周庄全旺路88号,乡野版“迪士尼”,"120.86378,31.129981"
江苏·苏州·周庄,沈厅,972992305,城市观光,,热度 0.0,江苏省苏州市周庄古镇南市街96号,广厦百余椽，良田千亩，逐成一镇巨室,"120.857232,31.118999"
江苏·泰州·海陵区,泰州凤城河景区,1263893184,文化古迹,4A景区,热度 0.0,江苏省泰州市海陵区东南园10号,充分领略到“州建南唐”的历史厚重,"119.933778,32.487871"
江苏·泰州·海陵区,泰州梅兰芳纪念馆,846531797,展馆,,热度 0.0,江苏省泰州市海陵区迎春东路90号,泰州人民心中的凤凰——梅兰芳,"119.937147,32.491039"
江苏·泰州·姜堰市,溱湖国家湿地公园,586926082,自然风光,5A景区,热度 1.0,江苏省泰州市姜堰市溱潼镇,溱湖观赏湿地公园，品尝美味溱湖簖蟹,"120.09753,32.630055"
江苏·泰州·姜堰市,溱潼古镇,3268751051,文化古迹,4A景区,热度 0.86,江苏省泰州姜堰市鹿鸣西路溱潼镇,远离浮华，探寻千年古镇的神秘处,"120.104311,32.656733"
江苏·泰州·泰州凤城河景区,泰州凤城河风水博物馆景区,3499581579,展馆,,热度 0.0,江苏省泰州市海陵区鼓楼南路三水湾街区水街19号,展示传统建筑环境风水文，凸显风水文化,"119.932746,32.484581"
江苏·泰州·泰州凤城河景区,泰州凤城河桃园景区,679893055,城市观光,,热度 0.0,江苏省泰州市老街迎春东路交叉口南350米,踏雪寻踪，桃源春晓，清风送怀，船舫观戏,"119.937289,32.486995"
江苏·泰州·兴化市,李中水上森林公园,1278940802,公园,4A景区,热度 0.72,江苏省泰州市兴化市李中镇苏宋村,都市人回归自然休闲的好去处,"119.739703,33.035712"
江苏·无锡·北塘区,惠山古镇,697217509,文化古迹,,热度 0.0,江苏无锡北塘区听松坊53-1号,京杭大运河孕育的古镇,"120.280064,31.586743"
江苏·无锡·滨湖区,灵山小镇拈花湾,521189061,文化古迹,,热度 0.0,江苏省无锡市滨湖区马山环山西路,东方禅意度假胜地，世界佛教论坛永久会址,"120.079209,31.419262"
江苏·无锡·滨湖区,鼋头渚,2976803000,公园,5A景区,热度 0.9400000000000001,江苏省无锡市滨湖区鼋头渚1号,太湖佳绝处，毕竟在鼋头,"120.233458,31.529306"
江苏·无锡·滨湖区,蠡园,1744611426,公园,4A景区,热度 0.8800000000000001,江苏省无锡市滨湖区环湖路青祁村70号,范蠡西施幽会的地方,"120.266196,31.523255"
江苏·无锡·滨湖区,无锡梅园,294839084,公园,4A景区,热度 0.82,江苏省无锡市滨湖区梁溪路卞家湾13号,荣氏梅园，显示出它的高雅古朴风格,"120.229628,31.559685"
江苏·无锡·滨湖区,梁鸿湿地公园,988463518,公园,,热度 0.0,江苏省无锡市滨湖区鸿山街道梁鸿村占桥80号,河泊连片，草木成荫，舟楫摇曳，禽鸟翻飞,"120.532964,31.503153"
江苏·无锡·滨湖区,龙寺农业生态园,3903634249,农家度假,3A景区,热度 0.7,江苏省无锡大浮镇军北村盘龙路,四季茶花果飘香，人文景观和自然环境和谐,"120.242691,31.450147"
江苏·无锡·滨湖区,无锡融创乐园,1675702785,游乐场,,热度 0.0,江苏省无锡市滨湖区缘溪道无锡融创乐园,无锡融创乐园 “无锡献给世界的欢乐”,"120.277007,31.456184"
江苏·无锡·滨湖区,无锡动物园·太湖欢乐园,715702267,游乐场,4A景区,热度 0.0,江苏省无锡市滨湖区钱荣路99号,游览奇趣动物园，体验动感极限欢乐世界,"120.24286,31.589085"
江苏·无锡·滨湖区,紫砂博览馆,2633754749,展馆,,热度 0.0,江苏省无锡市滨湖区归元紫砂博览馆,秉承高品质的服务理念,"120.254323,31.506185"
江苏·无锡·滨湖区,吴都阖闾城遗址博物馆,1851899316,展馆,,热度 0.0,江苏省无锡市滨湖区太湖国家旅游度假区阖闾村闾江口,再现了春秋吴国的精彩篇章,"120.13548,31.524294"
江苏·无锡·滨湖区,观蠡湖高尔夫,172754947,运动健身,,热度 0.0,江苏省无锡市滨湖区环湖路1081号,"观蠡湖高尔夫位于风景秀丽的蠡湖风景区北面，环湖路大渲桥旁, 与邻近的无锡渔人码头相辉生映。浓缩锡城山水文化与都市潮流风尚","120.236674,31.551739"
江苏·无锡·华西村,华西龙希国际大酒店旅游观光景区,1642296012,城市观光,,热度 0.0,江苏省无锡市江阴市华西村民族路99号,设施先进完备，中国农村发展的又一里程碑,"120.433549,31.834449"
江苏·无锡·惠山区,锡惠公园,13599353,公园,,热度 0.9199999999999999,江苏省无锡市北塘区惠山直街2号（近惠山东麓观泉街巷口）,展现了南朝以来各个朝代的历史文化古迹,"120.282093,31.583867"
江苏·无锡·惠山区,田园东方,3624897595,农家度假,,热度 0.0,江苏无锡市惠山区阳山镇桃蹊路与阳杨路交汇处,坐落于风景秀美的江南水乡的大型桃园,"120.135394,31.608194"
江苏·无锡·江阴市,华西世界探险公园,2088863043,公园,,热度 0.0,江苏省无锡市江阴市华士镇华西世界探险公园,华西世界探险公园是华西世界公园的一部分，主要位于公园的北山，贯穿着华西一个保存完好的森林。新建的玻璃桥从“天安门”到“山,"120.453973,31.852247"
江苏·无锡·江阴市,军事文化遗址公园,1975983349,公园,,热度 0.0,江苏省无锡江阴市崇安区公园路159号,凡是与江阴有关的军事文化都将一一展现,"120.29453,31.938848"
江苏·无锡·江阴市,华西村,2357651788,农家度假,,热度 0.72,江苏省无锡江阴市华土镇华西村417号,旖旎的江南田园风光，吸引国内外游客,"120.439903,31.839942"
江苏·无锡·江阴市,江阴嘉茂国际花鸟园,3852623727,农家度假,,热度 0.0,江苏省江阴市青阳镇霞客大道与新青璜路交界处,在四季如春的花鸟园内，仿佛置身于童话世界,"120.299681,31.767519"
江苏·无锡·江阴市,无锡长泾老街,2272365224,城市观光,,热度 0.0,江苏省无锡江阴市虹桥北路长泾老街,具有较高的历史文化内涵,"120.488005,31.756651"
江苏·无锡·江阴市,海澜飞马水城,135818794,运动健身,,热度 0.0,江苏省江阴市新桥镇海澜国际马术俱乐部,集马术训练、比赛及健身休闲为一体的基地,"120.506859,31.800907"
江苏·无锡·江阴市,江阴市体育中心,1159041454,运动健身,,热度 0.0,江苏省苏州市江阴城东新区江阴澄江中路,体育场建筑面积41200平方米,"120.297948,31.92741"
江苏·无锡·灵山胜境,灵山大佛,1359778064,自然风光,5A景区,热度 1.0,江苏省无锡市滨湖区灵山路1号,观释迦牟尼佛青铜立像，赏佛教胜景,"120.102895,31.436399"
江苏·无锡·绿羊温泉农场,绿羊温泉欢乐庄园,3251152317,农家度假,,热度 0.0,江苏省无锡市锡山区羊尖镇丽安村绿羊温泉内,让每一个来到欢乐庄园的宝贝乐不可支,"120.56882,31.646467"
江苏·无锡·锡山区,荡口古镇,1105862940,文化古迹,,热度 0.0,江苏省无锡市锡山区鹅湖镇蘅芳璐,素有“小苏州”的美称,"120.55571,31.532893"
江苏·无锡·锡山区,无锡鹅湖玫瑰文化园,1795482987,公园,,热度 0.0,江苏省无锡市锡山区鹅湖镇鹅湖村蒋塘坝,花开时万朵齐放，香色绵延数里,"120.553769,31.515136"
江苏·无锡·锡山区,鸿山遗址博物馆,1667966167,展馆,4A景区,热度 0.0,江苏省无锡市锡山区鸿山街道飞凤路8号,鸿山遗址博物馆、中国吴文化博物馆是以全国重点文物保护单位鸿山墓群为依托，在特大墓葬丘承墩原址上规划建设的专题博物馆，重点,"120.513452,31.498904"
江苏·无锡·锡山区,中华赏石园,1152036032,展馆,,热度 0.0,江苏省无锡市锡山区锡梅路东延伸段与飞凤路交叉口,让人们在赏石同时感受江南吴特色文化魅力,"120.513909,31.508688"
江苏·无锡·宜兴市,宜兴竹海,3940008855,自然风光,4A景区,热度 0.74,江苏省无锡宜兴市湖滏镇竹海村,太湖的源头之一，有“华东竹海”之称,"119.714376,31.177184"
江苏·无锡·宜兴市,善卷洞,17849997,自然风光,4A景区,热度 0.74,江苏省无锡宜兴市张渚镇川善线善卷洞,是著名石灰岩溶洞，宜兴“三奇”之首,"119.680087,31.303594"
江苏·无锡·宜兴市,张公洞,1740717037,公园,,热度 0.72,宜兴市湖父镇张阳村,"洞复一洞,洞洞有奇","119.789455,31.257255"
江苏·无锡·宜兴市,陶祖圣境,2310812297,公园,4A景区,热度 0.7,江苏省无锡市宜兴市湖滏镇竹海村36号,无锡市公众推介的旅游景区，宜兴十佳景区,"119.734367,31.19148"
江苏·无锡·宜兴市,宜兴紫海薰衣草庄园,1936592765,农家度假,,热度 0.0,江苏省无锡市宜兴市湖父镇金湖路,一场与薰衣草的邂逅,"119.806014,31.234384"
江苏·无锡·宜兴市,华东百畅生态休闲度假园,941039787,农家度假,,热度 0.0,江苏省宜兴市张渚竹园华东百畅,华东百畅生态区，休闲度假的绝好去处,"119.635322,31.240105"
江苏·无锡·宜兴市,中国陶都陶瓷城,1081063357,展馆,,热度 0.0,江苏省宜兴市丁蜀镇公园西路,这里亮点纷呈，是观赏收藏之旅,"119.838398,31.265102"
江苏·无锡·已下线灵山胜境子景点,九龙灌浴,3938088822,城市观光,,热度 0.0,江苏省无锡市滨湖区马山灵山路灵山胜景景区内,无锡灵山大佛景区的著名景观,"120.106616,31.430964"
江苏·宿迁,洋河酒厂文化旅游区,2856063689,展馆,,热度 0.0,江苏省宿迁市洋河镇中大街118号,体验美酒的发展历程,"118.381394,33.781358"
江苏·宿迁,宿迁骆马湖乡村俱乐部,3552906085,运动健身,,热度 0.0,江苏省宿迁市湖滨新城彩塑路北1号,尽情享受挥杆之趣,"118.320092,34.020496"
江苏·宿迁·沭阳县,沭阳县官墩山滑雪场,3339629393,运动健身,,热度 0.0,江苏省宿迁市沭阳县官墩乡官墩街红绿灯向北100米处桃花山庄内。,集冬季冰雪运动、春夏秋季休闲度假为一体、四季皆宜的休闲度假旅游胜地，依山向北而建的滑雪场。雪场建有6000平方米的初、中,"118.917173,34.210222"
江苏·宿迁·泗洪县,泗洪洪泽湖湿地景区,198691706,公园,4A景区,热度 0.0,江苏省宿迁市泗洪县城头乡泗洪洪泽湖湿地景区（票务中心）,淡水湿地景区,"118.338801,33.268915"
江苏·宿迁·泗阳县,洋河酒厂（泗阳基地）工业旅游区,2689301044,农家度假,,热度 0.0,江苏省宿迁市泗阳县来安中大街118号,天然粮仓，大汉酒国,"118.799603,33.719456"
江苏·宿迁·新城开发区,宿迁三台山森林公园,3155746349,公园,,热度 0.0,江苏省宿迁市湖滨新区311乡道,苏北的西双版纳,"118.31888,34.044557"
江苏·宿迁·宿城区,项王故里,2879008236,文化古迹,4A景区,热度 1.0,江苏省宿迁市宿城区黄河南路,既有汉代民居特点，又有宫殿式建筑风格,"118.306601,33.944663"
江苏·宿迁·宿豫区,骆马湖动漫王国,2280670741,公园,,热度 0.0,江苏省宿迁市宿豫区湖滨新城园博园东门,邀你穿越奇幻世界,"118.284042,34.065234"
江苏·徐州·贾汪区,潘安水镇,1154425564,公园,,热度 0.0,江苏省徐州市贾汪区潘安湖湿地风景区北侧潘安水镇,携一路烟雨，游水乡古镇,"117.37852,34.374157"
江苏·徐州·贾汪区,潘安湖湿地公园,2551328160,公园,,热度 0.0,江苏省徐州市贾汪区310国道与徐贾快速通道交汇处,古木交柯、桂香四溢的潘安风貌,"117.385957,34.37001"
江苏·徐州·贾汪区,紫海蓝山薰衣草庄园,1363141692,农家度假,,热度 0.0,徐州贾汪督公湖景区内紫海蓝山薰衣草庄园,专业从事薰衣草种植的庄园,"117.557362,34.450563"
江苏·徐州·九里区,龟山汉墓,1037657140,文化古迹,3A景区,热度 0.96,江苏省徐州市九里经济开发区襄王北路3号,世界罕见，中华一绝,"117.144217,34.313706"
江苏·徐州·泉山区,徐州海底世界,976961973,游乐场,,热度 0.0,江苏省徐州市泉山区解放南路三胞广场负1-2层（矿大文昌校区前）,一座科普教育体验式现代化海洋馆,"117.201675,34.230229"
江苏·徐州·泉山区,徐州乐园加勒比水世界,170836087,游乐场,,热度 0.0,江苏省徐州市泉山区三环南路中国矿业大学南湖校区西侧,惊声尖叫，畅快玩水，全方位体验动感魅力,"117.136581,34.231901"
江苏·徐州·新沂市,窑湾古镇,2366331352,文化古迹,4A景区,热度 0.0,江苏省徐州新沂市窑湾镇,一座具有一千多年历史的水乡古镇,"118.079437,34.186649"
江苏·徐州·云龙区,汉文化景区,4144082463,文化古迹,4A景区,热度 0.82,江苏省徐州市云龙区兵马俑路1号,感受汉朝文化的气势磅礴,"117.228773,34.249545"
江苏·徐州·云龙区,徐州乐园糖果世界,2977666991,游乐场,,热度 0.0,徐州市云龙湖风景区玉带大道9号,大型儿童亲子主题乐园,"117.132331,34.231445"
江苏·盐城·大丰市,荷兰花海,3771123964,公园,,热度 0.0,江苏省盐城大丰市新丰镇城北新区1号荷兰花海,沉醉花海,"120.44147,33.272257"
江苏·盐城·大丰市,盐城大丰梦幻迷宫,1893785406,公园,,热度 0.0,江苏省盐城市大丰草堰镇,综合性迷宫乐园,"120.397081,32.981003"
江苏·盐城·大丰市,丹顶鹤自然保护区,3206213053,公园,,热度 0.74,中国江苏盐城,芦苇丛生，空旷宁静，丹顶鹤的天堂,"120.507209,33.609166"
江苏·盐城·大丰市,大丰上海知青纪念馆,1750897351,展馆,,热度 0.0,江苏省盐城市大丰市,具有深远文化意义的历史旧居,"120.607371,33.257863"
江苏·盐城·大丰市,中华水浒园,245429107,展馆,,热度 0.0,盐城市大丰市大丰区白驹镇204国道西侧,施公故里、水浒原乡,"120.315741,33.074192"
江苏·盐城·东台市,黄海森林公园,1420207505,公园,4A景区,热度 0.0,江苏省盐城市东台市花林路,动物世界 鸟类世界 花草世界,"120.83246631121,32.876735482125"
江苏·盐城·金沙湖旅游度假区,阜宁金沙湖滑雪场,3485649501,运动健身,,热度 0.0,江苏省盐城市阜宁县金沙湖开发管理委员会,整个项目由激情、刺激的滑雪区、浪漫温馨的嬉雪园、雪与沙雕相结合的观赏区三个部分组成，让你体验别样的冬日风情。滑雪区一期建,"119.82079,33.719549"
江苏·盐城·亭湖区,大洋湾生态旅游景区,3620117537,公园,,热度 0.0,江苏盐城市亭湖区,大洋湾生态运动公园概念规划以生态、运动、休闲、体育为主题、全民参与的综合性城市公园。功能上分为商业景观区、体育科普知识区,"120.199827,33.436125"
江苏·盐城·盐城经济开发区,盐城卡迪欢乐世界,2585400846,游乐场,,热度 0.0,江苏省盐城市经济开发区新都东路98号（国际会展中心东侧）,带领游客进入一个亦真亦幻的奇妙境界,"120.234297,33.388103"
江苏·扬州,扬州东关街历史文化街,182965587,城市观光,,热度 0.0,江苏省扬州市东关街历史文化古街区,行走东关街 醉在扬州城,"119.458133,32.403549"
江苏·扬州·宝应县,扬州宝应湖国家湿地公园,3800119229,农家度假,,热度 0.0,江苏省扬州市宝应县正润路,绿色健康休闲旅游与生态观光的绝佳目的地,"119.323703,33.145218"
江苏·扬州·登月湖,沙滩浴场景区,4097444633,运动健身,,热度 0.0,江苏省扬州市仪征市月塘乡登月湖景区,享受水中畅游的乐趣,"119.10922711793,32.418206255752"
江苏·扬州·高邮市,加州阳光海岸,891760224,游乐场,,热度 0.0,江苏省扬州市高邮市秦邮路146号加洲城市广场5楼,超五星级国际休闲俱乐部,"119.463937,32.805308"
江苏·扬州·广陵区,茱萸湾,1712366898,自然风光,4A景区,热度 0.7,江苏省扬州市广陵区湾头镇茱萸湾路888号,一座半岛生态型动植物园,"119.496131,32.438526"
江苏·扬州·广陵区,个园,4053221398,公园,4A景区,热度 0.8800000000000001,江苏省扬州市广陵区盐阜东路10号,聆听石头与竹子的低语,"119.450276,32.404901"
江苏·扬州·广陵区,何园,4148181496,公园,4A景区,热度 0.82,江苏省扬州市广陵区徐凝门大街66号　,晚清名园，扬州园林的代表,"119.455447,32.39141"
江苏·扬州·广陵区,扬州马可波罗花世界,1354544631,公园,,热度 0.0,江苏省扬州市生态科技新城自在岛花海路1号马可波罗花世界乐园,伴随你共同经历充满冒险色彩的奇幻之旅,"119.525574,32.415528"
江苏·扬州·广陵区,扬州乐园,3145062332,游乐场,,热度 0.0,江苏省扬州市广陵区万福闸管理所向东200米,以蝶恋花为主题的乐园,"119.523921,32.428835"
江苏·扬州·广陵区,扬州八怪纪念馆,1927184485,展馆,,热度 0.0,江苏省扬州市广陵区驼岭巷18号扬州八怪纪念馆,弘扬扬州八怪艺术成就的专业纪念馆,"119.437966,32.404712"
江苏·扬州·邗江区,瘦西湖,328136322,自然风光,5A景区,热度 1.0,江苏省扬州市维扬区长春路118号,湖上园林的典型代表,"119.430517,32.419989"
江苏·扬州·邗江区,扬州古运河,2722811885,文化古迹,3A景区,热度 0.82,江苏省扬州市邗江区,大运河十分古老的一段,"119.435822,32.362876"
江苏·扬州·邗江区,凤凰岛,923328971,公园,3A景区,热度 0.7,江苏省扬州市邗江区泰安镇凤凰岛南路1号,远离城市喧嚣，安享绝美度假时光,"119.504263,32.501484"
江苏·扬州·邗江区,扬州瘦西湖温泉,3480743831,农家度假,,热度 0.72,江苏省扬州市邗江区长春路38号,40个温泉池为您量身打造绿色健康生活方式,"119.428474,32.417707"
江苏·扬州·维扬区,大明寺,2002297980,文化古迹,4A景区,热度 0.76,江苏省扬州市邗江区平山堂东路1号,历史文化内涵十分丰富的民族文化宝藏,"119.419311,32.425243"
江苏·扬州·维扬区,汉陵苑,3387816709,展馆,3A景区,热度 0.72,江苏省扬州市维扬区平山堂东路98号,一座融文物与园林为一体的陵园式博物馆,"119.437001,32.429993"
江苏·扬州·仪征市,红山体育公园,2233006774,公园,,热度 0.0,江苏省扬州市仪征市锦绣大道,融户外康体运动和生态休闲于一体,"119.070819,32.336897"
江苏·扬州·仪征市,江扬天乐湖嬉乐谷,1718086841,游乐场,,热度 0.0,江苏省扬州市仪征市月塘镇四庄村江扬路9号,集休闲、观光、娱乐、度假,"119.144837,32.391601"
江苏·扬州·仪征市,扬州天乐湖欢乐谷,683925185,游乐场,,热度 0.0,江苏扬州仪征市谢集乡四庄村江扬路,儿童的游乐园，大人的世外桃源,"119.134662,32.408056"
江苏·镇江·丹徒区,镇江中国醋文化博物馆,3524070389,展馆,4A景区,热度 0.0,江苏省镇江市丹徒区广园路66号,专业性主题醋文化博物馆,"119.486406,32.108264"
江苏·镇江·京口区,镇江焦山,745979697,自然风光,5A景区,热度 0.9400000000000001,江苏省镇江市东吴路焦山公园,京口三山之一，被誉为书法之山,"119.491862,32.243623"
江苏·镇江·京口区,北固山,3663029383,自然风光,5A景区,热度 1.0,江苏省镇江市东吴路3号,游人寻访三国遗迹的向往之地,"119.463648,32.222068"
江苏·镇江·句容市,江苏句容茅山景区（5A）,3031687302,自然风光,5A景区,热度 0.8400000000000001,江苏省镇江市句容市茅山风景区,道家福地，“第八洞天”,"119.323175,31.786851"
江苏·镇江·句容市,宝华山国家森林公园,62137798,公园,4A景区,热度 0.78,江苏省镇江句容市宝华镇杨柳泉路,层峦叠嶂、逶迤环绕、形似莲花,"119.094285,32.136718"
江苏·镇江·润州区,镇江金山,2378116228,自然风光,5A景区,热度 0.0,江苏省镇江市润州区金山路62号,法海岂能懂爱，白娘娘大发雌威之地,"119.422532,32.225542"
江苏·镇江·润州区,西津渡历史文化街,3888620257,文化古迹,4A景区,热度 0.0,江苏省镇江市润州区西津渡街25号,罗哲文先生称之为“中国古渡博物馆”,"119.436605,32.221625"
江苏·镇江·润州区,镇江体育会展中心,2078646960,运动健身,,热度 0.0,江苏镇江润州区九华山路,集中体现了现代体育建筑的五大策略,"119.428617,32.18393"
江西·抚州·抚州市,抚州汤溪温泉度假区,497918429,农家度假,,热度 0.0,江西省抚州市崇仁县马鞍镇汤溪村,人间净土，天然养吧,"115.897453,27.735015"
江西·抚州·抚州市,三翁花园,3333064220,农家度假,,热度 0.0,江西省抚州市临川区玉茗大道,城市花园的标杆,"116.220314,27.840659"
江西·抚州·抚州市,仙盖山,4195333089,游乐场,,热度 0.0,抚州仙盖山景区 江西省抚州市临川区河埠乡斯和村,大型野生动物园与游玩项目,"116.353309,27.813947"
江西·赣州,阳明山(原阳岭森林公园),923730029,公园,4A景区,热度 0.72,江西省赣州市崇义县县城南郊,带你回归自然，休闲度假的好去处,"114.320086,25.663301"
江西·赣州·安远县,三百山国家森林公园,1019970110,公园,4A景区,热度 0.76,江西省赣州市安远县三百山镇,中山逶迤、重峦叠嶂、危崖奇石、峰奇石异,"115.46249,25.015396"
江西·赣州·大余县,丫山景区,4236677271,自然风光,4A景区,热度 0.0,江西省赣州市大余县黄龙镇,灵山秀水、天然氧吧、千年人文、生态美食,"114.41356,25.469317"
江西·赣州·龙南县,南武当旅游景区,1616250696,自然风光,,热度 0.0,江西省赣州市龙南县武当镇,素有江西南大门之称。,"114.720841,24.615032"
江西·赣州·龙南县,虔心小镇,2460544112,农家度假,,热度 0.0,江西省赣州市龙南县临塘乡东坑村,旅游风情小镇 康养小镇,"114.842788,24.756436"
江西·赣州·瑞金市,瑞金红井,2289629704,文化古迹,5A景区,热度 0.7,江西省赣州市瑞金市,苏区时期毛泽东亲自带领干部群众开挖的,"116.014033,25.885686"
江西·赣州·瑞金市,叶坪革命遗址,852357325,文化古迹,5A景区,热度 0.7,江西省瑞金市叶坪乡叶坪村,中央苏区和苏维埃共和国政治、军事活动中心,"116.079721,25.912296"
江西·赣州·瑞金市,共和国摇篮景区,2205138902,展馆,5A景区,热度 0.0,江西省赣州市瑞金市旅游集散中心,一处一诗，一步一景,"116.079488,25.910068"
江西·赣州·上犹县,赣州上犹柏水寨,664585354,农家度假,,热度 0.0,江西省赣州市上犹县X385(油陡线),综合的创意文化生态旅游基地,"114.458238,25.848495"
江西·赣州·石城县,通天寨景区,1598359287,公园,4A景区,热度 0.0,江西省赣州市石城县琴江镇大畲村,石怪、洞幽、泉美、茶香、佛盛,"116.376198,26.283065"
江西·赣州·石城县,石城九寨温泉,1436026640,游乐场,3A景区,热度 0.0,江西省赣州市石城县,九寨温泉是江西乃至全国少有的“双料”温泉,"116.375326,26.255795"
江西·赣州·寻乌,石崆寨旅游景区,1035735375,文化古迹,,热度 0.0,江西省赣州市寻乌县留车镇雁洋村石崆寨旅游景区售票处,见证时光流转、沧海桑田的历史变迁,"115.650899,24.703481"
江西·赣州·于都县,屏山旅游区,227825801,农家度假,,热度 0.0,江西省赣州市于都县靖石乡,集放牧、观光、狩猎等于一体休闲旅游好去处,"115.510686,25.673511"
江西·赣州·章贡区,通天岩,1007565872,自然风光,4A景区,热度 1.0,江西省赣州市章贡区水西镇黄沙村,情苑内绿草茵茵是人们休闲寻趣的好地方,"114.912057,25.92501"
江西·赣州·章贡区,杨梅渡水上乐园,2362738615,游乐场,,热度 0.0,江西省赣州市章贡区杨梅渡公园内,杨梅渡水上乐园： 赣州市区内为数不多的水上乐园项目，坐落于杨梅渡公园内，环境优美，水清石秀，是你水上玩乐不的不二选择。,"114.917727,25.854271"
